CNS,Dat. Instalação,Denominação,Tipo,Atribuições,Status,Situação jurídica da serventia,Data decisão,UF,Cidade,E-mail contato,Dat. ingresso responsável,Responsável,Substituto
07.994-7,11/10/1963,1º Serviço de Registro de Imóveis,Privatizada,Registro de Imóveis,Ativo,VAGO,04/04/2017,PR,UMUARAMA,cri-umuarama@hotmail.com,2024-07-08,ELAINE MAGALHãES DE SOUZA VASCONCELLOS,-
07.997-0,28/09/1878,1º Serviço de Registro de Imóveis,Privatizada,Registro de Imóveis,Ativo,PROVIDO,27/10/2021,PR,SAO JOSE DOS PINHAIS,contato@risjp.com.br,2024-07-12,EMILIO DAL ONGARO CORDEIRO,LEILA TERESINHA CIM PEREIRA
08.008-5,07/04/1941,2º SERVIÇO DE REGISTRO DE IMOVEIS,Privatizada,Registro de Imóveis,Ativo,PROVIDO,12/07/2010,PR,LONDRINA,cartorio@2rilondrina.com.br,2024-07-15,ALEX CANZIANI SILVEIRA,VERA MARIA CANZIANI SILVEIRA
08.010-1,30/03/1971,Serviço de Registro de Imóveis,Privatizada,Registro de Imóveis,Ativo,PROVIDO,10/04/2023,PR,ASTORGA,CARTORIO2OFICIOASTORGA@HOTMAIL.COM,2024-07-05,MÁRIO LÚCIO GARCEZ CALIL,KASSIUS MARQUETO
08.018-4,17/04/1970,2º SERVIÇO DE REGISTRO DE IMÓVEIS,Privatizada,Registro de Imóveis,Ativo,PROVIDO,12/07/2010,PR,FRANCISCO BELTRAO,financeiro@cartorio2oficiofb.com.br,2024-07-15,DIRCEU CARNEIRO,LETICIA CARNEIRO PENSO
08.019-2,16/01/1948,2º  Serviço  de Registro de Imóveis,Privatizada,Registro de Imóveis,Ativo,PROVIDO,08/02/2019,PR,ARAPONGAS,atendimento@2riarapongas.com.br,2024-07-15,DIEGO FRANCO NORONHA,ALAN DENIS PEREIRA SILVIO
08.020-0,17/02/1991,2º Serviço de Registro de Imóveis,Privatizada,Registro de Imóveis,Ativo,PROVIDO,27/10/2021,PR,PARANAVAI,contato@2sri.com.br,2024-07-10,JOÃO GUSTAVO GARCIA NADAL,SHIRLEY GARCIA
08.021-8,20/05/1969,2º SERVIÇO DE REGISTRO DE IMÓVEIS,Privatizada,Registro de Imóveis,Ativo,PROVIDO,21/03/2018,PR,CAMPO MOURAO,atendimento@2ricm.com.br,2017-02-03,MARIANA BELO RODRIGUES BUFFO,GIDEONE PISSOLATTI BUFFO
08.022-6,06/04/1987,2º Serviço de Registro de Imóveis,Privatizada,Registro de Imóveis,Ativo,PROVIDO,27/10/2021,PR,TOLEDO,2ritoledo@gmail.com,2018-01-19,MAURO JOÃO MATTÉ,GIOVANA FINKLER
08.023-4,07/01/1985,2º Serviço de Registro de Imóveis,Privatizada,Registro de Imóveis,Ativo,PROVIDO,05/04/2018,PR,PATO BRANCO,contato@pb2ri.com.br,2024-07-10,LEONARDO LUIZ SELBACH,-
08.025-9,22/01/1991,2º Serviço de Registro de Imóveis,Oficializada,Registro de Imóveis,Ativo,PROVIDO,12/07/2010,PR,FOZ DO IGUACU,2.registroimoveis@uol.com.br,2024-07-17,FLÁVIO CORREIA DE ALBUQUERQUE MARANHÃO,EDMERSON CABRAL DOS SANTOS
08.030-9,01/03/1972,2º Serviço de registro de imóveis,Privatizada,Registro de Imóveis,Ativo,PROVIDO,12/07/2010,PR,SAO JOSE DOS PINHAIS,dallariva2cri@hotmail.com,2024-07-10,MARIA LEONOR FERRAZ DALLA RIVA,-
08.039-0,12/09/1941,2º Serviço de Registro de Imóveis,Privatizada,Registro de Imóveis,Ativo,PROVIDO,27/10/2021,PR,GUARAPUAVA,2sri@hotmail.com.br,2017-01-27,EVANDRO CARLOS GOMES,HELTON LUIZ LEINECKER MACHADO
08.041-6,26/11/1969,2º Serviço de Registro de Imóveis,Privatizada,Registro de Imóveis,Ativo,PROVIDO,13/03/2018,PR,UMUARAMA,2riumuarama@gmail.com,2017-02-03,EDUARDO SPRICIGO,GISELE MARQUES
08.043-2,11/06/1970,3º Serviço de Registro de Imoveis,Privatizada,Registro de Imóveis,Ativo,VAGO,11/06/2022,PR,GUARAPUAVA,3oficioregistrodeimoveis@gmail.com,2024-07-11,ROMERO CEZAR SANTOS DE LIMA,ELIANE MARIA MACHADO SANTOS STUMM
08.044-0,01/01/1969,3º Serviço de Registro de Imóveis,Privatizada,Registro de Imóveis,Ativo,PROVIDO,28/11/2013,PR,MARINGA,contato@3registromaringa.com.br,2024-07-18,EVANDRO BUQUERA DE FREITAS OLIVEIRA,-
08.046-5,15/09/1947,3º Serviço de Registro de Imóveis,Privatizada,Registro de Imóveis,Ativo,PROVIDO,27/10/2021,PR,CURITIBA,contato@3ricuritiba.com.br,2024-07-09,THAíS HELENA OLIVEIRA CARVAJAL MENDES,-
08.047-3,22/11/1982,3º Serviço de Registro de Imóveis,Privatizada,Registro de Imóveis,Ativo,PROVIDO,12/07/2010,PR,CASCAVEL,camila@3sricascavel.com.br,2024-07-13,ANTONIO ARTUR DE SOUZA SAMPAIO,CAMILA PEDROSO SAMPAIO
08.054-9,20/02/1963,4º Serviço de Registro de Imóveis,Privatizada,Registro de Imóveis,Ativo,PROVIDO,27/10/2021,PR,CURITIBA,faleconosco@4ricuritiba.com.br,2017-01-24,MARCIO DE VASCONCELOS MARTINS,RODRIGO VARELA DA SILVA
08.057-2,29/12/1962,5º SERVIÇO DE REGISTRO DE IMÓVEIS,Privatizada,Registro de Imóveis,Ativo,PROVIDO,04/04/2023,PR,CURITIBA,titular@5ricuritiba.com.br,2023-01-16,CHARLES WILLIAN BENDLIN,LUCEMARA DA SILVA
08.060-6,15/06/1925,6º Serviço de Registro de Imóveis,Privatizada,Registro de Imóveis,Ativo,PROVIDO,12/07/2010,PR,CURITIBA,titular@6ricuritiba.com.br,2009-03-02,JORGE LUIS MORAN,KATIA CRISTINA CORDEIRO
08.064-8,08/10/1968,9º Serviço de Registro de Imóveis,Privatizada,Registro de Imóveis,Ativo,PROVIDO,12/07/2010,PR,CURITIBA,contato@nonoregistro.com.br,2024-07-24,ASTROGILDO GOBBO,-
08.068-9,09/01/1978,SERVIÇO DE REGISTRO DE IMÓVEIS,Privatizada,Registro de Imóveis,Ativo,PROVIDO,12/07/2010,PR,ALTONIA,servimoveis.altonia@gmail.com,2024-07-09,PAULO PIMPÃO SILVA,-
08.072-1,30/01/1949,"Serviço de Registro de Imóveis, Serviço de Registro Civil das Pessoas Naturais e Serviço de Registro de Títulos e Documentos e Civil das Pessoas Jurídicas",Privatizada,Registro Civil das Pessoas Naturais e de Interdições e Tutelas / Registro de Imóveis / Registro de Títulos e Documentos e Civis das Pessoas Jurídicas,Ativo,PROVIDO,26/10/2021,PR,ANDIRA,rp@rpandira.com.br,2024-07-08,EDMUNDO DOS SANTOS NETO,SUÉLI CRISTINI REMPEL
08.074-7,08/03/1949,1º Tabelionato de Notas,Oficializada,Notas / Registro de Imóveis,Ativo,VAGO,16/10/2025,PR,ARAPONGAS,1tabelionatoarapongas@gmail.com,2025-10-09,ERICA CONRADO DE OLIVEIRA,-
08.075-4,27/04/1938,1º SERVIÇO DE REGISTRO DE IMÓVEIS,Privatizada,Registro de Imóveis,Ativo,PROVIDO,12/07/2010,PR,ARAUCARIA,registimovel@onda.com.br,1965-07-14,JOSÉ AUGUSTO ALVES PINTO,ANDREA TEMPSKI ALVES PINTO
08.079-6,10/07/1969,Serviço de Registro de Imóveis,Privatizada,Registro de Imóveis,Ativo,PROVIDO,27/10/2021,PR,ASSAI,assai_ri@hotmail.com,2024-07-13,MORGANA DE ÁVILA GRAMA,-
08.080-4,01/03/1991,Serviço de Registro de Imóveis,Privatizada,Registro de Imóveis,Ativo,PROVIDO,12/07/2010,PR,ASSIS CHATEAUBRIAND,contato@riassis.com.br,2024-07-02,ELIZABETH DOROTY FIORI GRADIA,-
08.087-9,31/08/1874,1º SERVIÇO DE REGISTRO DE IMÓVEIS,Oficializada,Registro de Imóveis,Ativo,PROVIDO,04/04/2023,PR,CAMPO LARGO,registro@1ricampolargo.com.br,2023-01-17,MARIA RENATA SETTI DE PAULI,-
08.151-3,10/12/2010,"Serviço de Registro de Imóveis, Serviço de Registro Civil das Pessoas Naturais e Serviço de Registro de Títulos e Documentos e Civil das Pessoas Jurídicas",Privatizada,Registro Civil das Pessoas Naturais e de Interdições e Tutelas / Registro de Imóveis / Registro de Títulos e Documentos e Civis das Pessoas Jurídicas,Ativo,PROVIDO,14/05/2014,PR,SANTA FE,registrodeimoveissantafe@gmail.com,2024-07-13,MARIA AMELIA BECKER,-
08.171-1,19/04/1954,Serviço de Registro de Imóveis ao Serviço de Registro Civil das Pessoas Naturais e Serviço de Registro de Títulos e Documentos e Civil das Pessoas Jurídicas da Comarca de Paranacity,Privatizada,Registro Civil das Pessoas Naturais e de Interdições e Tutelas / Registro de Imóveis / Registro de Títulos e Documentos e Civis das Pessoas Jurídicas,Ativo,PROVIDO,10/04/2023,PR,PARANACITY,diogo@registroparanacity.com.br,2024-07-16,DIOGO OSELAME PEREIRA BOEIRA,JULIANY DE ANDRADE GONÇALVES
08.181-0,06/03/1977,Serviço de Registro de Imóveis,Privatizada,Registro de Imóveis,Ativo,PROVIDO,12/06/2020,PR,CIDADE GAUCHA,registrogaucha@gmail.com,2017-02-17,RICARDO TEIXEIRA MARQUES,SOLANGE PIEDADE DE OLIVEIRA MARQUES
08.182-8,03/05/1913,Serviço de Registro de Imóveis,Privatizada,Registro de Imóveis,Ativo,PROVIDO,27/10/2021,PR,TOMAZINA,ritomazina@hotmail.com,2017-01-25,RICARDO HIRAN PELISSARI RIZZO,LIVIA FIRMINO DE SOUZA RIZZO
08.183-6,21/03/1949,Serviço de Registro de Imóveis,Privatizada,Registro de Imóveis,Ativo,PROVIDO,12/07/2010,PR,PORECATU,riporecatu@gmail.com,2024-07-08,GODO IANICELLI RODINI,-
08.184-4,28/06/1949,Serviço de Registro de Imóveis,Privatizada,Registro de Imóveis,Ativo,PROVIDO,12/07/2010,PR,SAO JERONIMO DA SERRA,servicoregistralsjs@hotmail.com,2024-08-02,MARIA SATIRIA DE CARVALHO,-
08.185-1,24/06/1954,SERVIÇO DE REGISTRO DE IMOVEIS,Privatizada,Registro de Imóveis,Ativo,PROVIDO,27/10/2021,PR,CAMBE,daniele@ricambe.com.br,2024-07-12,DANIELE MICHALOWSKI COSECHEN,-
08.186-9,07/05/1949,SERVIÇO DE REGISTRO DE IMÓVEIS,Privatizada,Registro de Imóveis,Ativo,PROVIDO,27/10/2021,PR,TEIXEIRA SOARES,registroimoveists@gmail.com,2024-07-09,ANTONIO SERGIO RODRIGUES,-
08.189-3,20/03/2023,Serviço de Registro de Imóveis,Privatizada,Registro de Imóveis,Ativo,PROVIDO,17/04/2023,PR,SANTO ANTONIO DA PLATINA,crigi.sap@gmail.com,2024-07-09,GISELE ALVES,-
08.191-9,29/07/1988,Serviço de Registro de Imóveis,Privatizada,Registro de Imóveis,Ativo,PROVIDO,27/09/2023,PR,MAMBORE,sri.mambore@outlook.com,2024-07-09,CAIO PACCA FERRAZ DE CAMARGO,ELIMARA ROSA DOS SANTOS
08.192-7,02/01/1979,"Serviço de Registro de Imóveis, Serviço de Registro Civil das Pessoas Naturais e Serviço de Registro de Títulos e Documentos e Civil das Pessoas Jurídicas",Oficializada,Registro Civil das Pessoas Naturais e de Interdições e Tutelas / Registro de Imóveis / Registro de Títulos e Documentos e Civis das Pessoas Jurídicas,Ativo,PROVIDO,12/07/2010,PR,GRANDES RIOS,cartorioferrari@uol.com.br,2024-07-15,VERA INÁCIO DE ALMEIDA FERRARI,-
08.193-5,15/05/1978,SERVIÇO DE REGISTRO DE IMÓVEIS,Privatizada,Registro de Imóveis,Ativo,PROVIDO,12/07/2010,PR,SAO JOAO DO IVAI,registrodeimoveissji@hotmail.com.br,1983-12-30,TÉRCIO DE FREITAS BUENO,-
08.194-3,05/08/1986,SERVIÇO DE REGISTRO DE IMÓVEIS,Privatizada,Registro de Imóveis,Ativo,PROVIDO,12/07/2010,PR,QUEDAS DO IGUACU,atendimento8@riquedas.com.br,2024-07-08,NEURACI ANACLETO SCHAEDLER,-
08.195-0,14/01/1991,4º Serviço de Registro de Imóveis,Privatizada,Registro de Imóveis,Ativo,PROVIDO,26/04/2023,PR,LONDRINA,administrativo@4registroimoveislondrina.com.br,2024-07-04,JULIANA MEZZAROBA TOMAZONI DE ALMEIDA PINTO,ANA PAULA MIOTTO
08.196-8,31/12/1949,SERVIÇO DE REGISTRO DE IMÓVEIS,Privatizada,Registro de Imóveis,Ativo,PROVIDO,12/07/2010,PR,COLOMBO,cartoregistro@gmail.com,2024-07-05,DENIZE APARECIDA DA SILVA ROSA,-
08.197-6,26/01/1999,SERVIÇO DE REGISTRO DE IMÓVEIS,Privatizada,Registro de Imóveis,Ativo,PROVIDO,12/07/2010,PR,FAZENDA RIO GRANDE,contato@registrofrg.com.br,2024-07-12,HERMAS EURIDES BRANDAO JUNIOR,-
08.198-4,23/07/1965,"Serviço de Registro de Imóveis, Serviço de Registro Civil das Pessoas Naturais e Serviço de Registro de Títulos e Documentos e Civil das Pessoas Jurídicas",Privatizada,Registro Civil das Pessoas Naturais e de Interdições e Tutelas / Registro de Imóveis / Registro de Títulos e Documentos e Civis das Pessoas Jurídicas,Ativo,PROVIDO,12/07/2010,PR,PARAISO DO NORTE,srimarinelo@gmail.com,2024-07-08,JOSE SEBASTIÃO MARINELO,-
08.199-2,25/07/1998,"Serviço de Registro de Imóveis, Serviço de Registro Civil das Pessoas Naturais e Serviço de Registro de Títulos e Documentos e Civil das Pessoas Jurídicas",Privatizada,Registro Civil das Pessoas Naturais e de Interdições e Tutelas / Registro de Imóveis / Registro de Títulos e Documentos e Civis das Pessoas Jurídicas,Ativo,PROVIDO,10/04/2023,PR,IRETAMA,cartorioiretama@hotmail.com,2023-01-31,THIAGO CORTES REZENDE SILVEIRA,FERNANDA NASCIMENTO DA SILVA
08.259-4,08/11/1937,"Serviço de Registro de Imóveis, Serviço de Registro Civil das Pessoas Naturais e Serviço de Registro de Títulos e Documentos e Civil das Pessoas Jurídicas",Privatizada,Registro Civil das Pessoas Naturais e de Interdições e Tutelas / Registro de Imóveis / Registro de Títulos e Documentos e Civis das Pessoas Jurídicas,Ativo,VAGO,22/01/2026,PR,SIQUEIRA CAMPOS,rcsiqueiracampos@hotmail.com,2026-01-12,LETICIA SOUZA COSTA LIMA,-
08.260-2,10/01/1949,"Serviço de Registro de Imóveis, Serviço de Registro Civil das Pessoas Naturais e Serviço de Registro de Títulos e Documentos e Civil das Pessoas Jurídicas",Privatizada,Registro Civil das Pessoas Naturais e de Interdições e Tutelas / Registro de Imóveis / Registro de Títulos e Documentos e Civis das Pessoas Jurídicas,Ativo,PROVIDO,10/04/2023,PR,CENTENARIO DO SUL,centenario.rc@hotmail.com,2023-01-26,RAFAEL DE BARROS MAIA,JOSE SANTINO DA SILVA FILHO
08.264-4,15/12/1929,"Serviço de Registro de Imóveis, Serviço de Registro Civil das Pessoas Naturais e Serviço de Registro de Títulos e Documentos e Civil das Pessoas Jurídicas",Privatizada,Registro Civil das Pessoas Naturais e de Interdições e Tutelas / Registro de Imóveis / Registro de Títulos e Documentos e Civis das Pessoas Jurídicas,Ativo,VAGO,01/10/2025,PR,BANDEIRANTES,registrocivilbandeirantes@gmail.com,2025-09-23,FRANCISCO RENO SILVA GOMES,-
08.266-9,24/10/1978,SERVIÇO DE REGISTRO DE IMÓVEIS,Privatizada,Registro de Imóveis,Ativo,PROVIDO,12/07/2010,PR,PALMITAL,Cleriobback@hotmail.com,2024-07-10,CLÉRIO BENILDO BACK,-
08.267-7,21/02/1938,"Serviço de Registro de Imóveis, Serviço de Registro Civil das Pessoas Naturais e Serviço de Registro de Títulos e Documentos e Civil das Pessoas Jurídicas",Privatizada,Registro Civil das Pessoas Naturais e de Interdições e Tutelas / Registro de Imóveis / Registro de Títulos e Documentos e Civis das Pessoas Jurídicas,Ativo,PROVIDO,19/03/2023,PR,SAO JOAO DO TRIUNFO,cartri1sjt@gmail.com,2024-07-04,MARILENA TEIXEIRA DE FREITAS PAULA,-
08.271-9,22/10/1890,"Serviço de Registro de Imóveis, Serviço de Registro Civil das Pessoas Naturais e Serviço de Registro de Títulos e Documentos e Civil das Pessoas Jurídicas",Privatizada,Registro Civil das Pessoas Naturais e de Interdições e Tutelas / Registro de Imóveis / Registro de Títulos e Documentos e Civis das Pessoas Jurídicas,Ativo,PROVIDO,27/10/2021,PR,TIBAGI,ritibagi@gmail.com,2024-07-13,FERNANDO PUPO MENDES,-
08.283-4,19/05/1925,"Serviço de Registro de Imóveis, Serviço de Registro Civil das Pessoas Naturais e Serviço de Registro de Títulos e Documentos e Civil das Pessoas Jurídicas",Privatizada,Registro Civil das Pessoas Naturais e de Interdições e Tutelas / Registro de Imóveis / Registro de Títulos e Documentos e Civis das Pessoas Jurídicas,Ativo,PROVIDO,12/07/2010,PR,PITANGA,cartoriopitanga@hotmail.com,2024-07-12,ZITOMIR ANTUNES,IZABEL APARECIDA ANTUNES
08.284-2,12/08/1954,"Serviço de Registro de Imóveis, Serviço de Registro Civil das Pessoas Naturais e Serviço de Registro de Títulos e Documentos e Civil das Pessoas Jurídicas",Privatizada,Registro Civil das Pessoas Naturais e de Interdições e Tutelas / Registro de Imóveis / Registro de Títulos e Documentos e Civis das Pessoas Jurídicas,Ativo,PROVIDO,12/07/2010,PR,CAPANEMA,cartoriogreber@hotmail.com,2024-07-15,NAIR IRIA GREBER,-
08.291-7,31/05/1954,"Serviço de Registro de Imóveis, Serviço de Registro Civil das Pessoas Naturais e Serviço de Registro de Títulos e Documentos e Civil das Pessoas Jurídicas",Privatizada,Registro Civil das Pessoas Naturais e de Interdições e Tutelas / Registro de Imóveis / Registro de Títulos e Documentos e Civis das Pessoas Jurídicas,Ativo,VAGO,18/09/2025,PR,BELA VISTA DO PARAISO,atendimento.registrobvp@gmail.com,2025-09-04,ALINE VASCONCELOS BARROS,-
08.294-1,19/09/1969,3º Serviço de registro de imóveis,Privatizada,Registro de Imóveis,Ativo,PROVIDO,12/07/2010,PR,LONDRINA,atendimento@3rilondrina.com.br,2024-07-09,MARTHA DAISY BRAGA CRUZ,-
08.295-8,06/08/1970,"Serviço de Registro de Imóveis, Serviço de Registro Civil das Pessoas Naturais e Serviço de Registro de Títulos e Documentos e Civil das Pessoas Jurídicas",Privatizada,Registro Civil das Pessoas Naturais e de Interdições e Tutelas / Registro de Imóveis / Registro de Títulos e Documentos e Civis das Pessoas Jurídicas,Ativo,PROVIDO,12/07/2010,PR,CURIUVA,cartorio.curiuva@hotmail.com,2024-07-09,VANIL DE OLIVEIRA SOUZA,LISIANE DE PAIVA MELLO OLIVEIRA
08.302-2,24/06/1954,1º Serviço de Registro de Imóveis,Privatizada,Registro de Imóveis,Ativo,PROVIDO,10/04/2023,PR,CASCAVEL,atendimento@1ricascavel.com.br,2024-07-29,GABRIELA ALMEIDA MARCON NORA,ANDRIELLY CAMARGO PEGO
08.311-3,09/01/1965,Serviço de Registro de Imóveis,Privatizada,Registro de Imóveis,Ativo,PROVIDO,27/10/2021,PR,CORONEL VIVIDA,registrocoronel@gmail.com,2024-07-08,DIOGO LEMOS DE FARIA,-
08.315-4,23/01/1970,2º Serviço de Registro de Imóveis,Privatizada,Registro de Imóveis,Ativo,PROVIDO,17/04/2023,PR,CRUZEIRO DO OESTE,cdo2oficio@gmail.com,2024-07-10,JOAONCIMAR MAGNABOSCO,-
08.323-8,28/09/1968,8º SERVIÇO DE REGISTRO DE IMOVEIS,Privatizada,Registro de Imóveis,Ativo,PROVIDO,12/07/2010,PR,CURITIBA,titular@8registro.com.br,1968-09-12,ITALO CONTI JUNIOR,-
08.324-6,01/01/1947,2º SERVIÇO DE REGISTRO DE IMÓVEIS,Privatizada,Registro de Imóveis,Ativo,PROVIDO,12/03/2018,PR,CURITIBA,titular@2ricuritiba.com.br,2017-09-04,MARIANA CARVALHO POZENATO MARTINS,-
08.325-3,10/01/1866,1º SERVIÇO DE REGISTRO DE IMÓVEIS,Privatizada,Registro de Imóveis,Ativo,PROVIDO,24/04/2018,PR,CURITIBA,titular@1ricuritiba.com.br,2024-07-10,LUIS FLÁVIO FIDELIS GONÇALVES,-
08.337-8,17/07/1968,Serviço de Registro de Imóveis,Privatizada,Registro de Imóveis,Ativo,PROVIDO,08/02/2018,PR,DOIS VIZINHOS,atendimento@ridv.com.br,2024-07-08,ANDRÉ LUIZ BIANCHI,MARCIA HENTGES LATREILLE
08.351-9,26/11/1969,Serviço de Registro de Imóveis,Privatizada,Registro de Imóveis,Ativo,PROVIDO,12/07/2010,PR,GUARANIACU,criguaraniacu@hotmail.com,2024-07-30,VERA MARIA MARANHãO BERNARDO,CLAUDIA APARECIDA MORETO
08.353-5,26/08/1986,Serviço de Registro de Imóveis,Privatizada,Registro de Imóveis,Ativo,PROVIDO,12/07/2010,PR,GUARATUBA,contato@riguaratuba.com.br,2009-02-25,GABRIEL FERNANDO DO AMARAL,MARCUS VINICIUS DO AMARAL
08.355-0,09/06/1954,Serviço de Registro de Imóveis,Privatizada,Registro de Imóveis,Ativo,PROVIDO,28/09/2023,PR,IBIPORA,atendimento@riibipora.com.br,2024-07-15,DANIELLE MIALSKI VILAS BÔAS,MARIA APARECIDA ANDREASSA
08.362-6,04/06/1904,SERVIÇO DE REGISTRO DE IMÓVEIS,Privatizada,Registro de Imóveis,Ativo,PROVIDO,11/04/2023,PR,JACAREZINHO,rijacarezinho@gmail.com,2023-01-09,ANA PAULA GABRIEL GETULIO DORNELLES DA ROSA,KÉSIA IOLANDA DE ABREU CUSTÓDIO
08.364-2,09/08/1969,2º Serviço de Registro de Imóveis de Jandaia do Sul-PR,Privatizada,Registro de Imóveis,Ativo,PROVIDO,27/10/2021,PR,JANDAIA DO SUL,cri2jandaia@gmail.com,2017-06-30,LARISSA DORTA DAMASIO DA SILVEIRA,-
08.368-3,05/09/1871,"Serviço de Registro de Imóveis, Serviço de Registro Civil das Pessoas Naturais e Serviço de Registro de Títulos e Documentos e Civil das Pessoas Jurídicas",Privatizada,Registro Civil das Pessoas Naturais e de Interdições e Tutelas / Registro de Imóveis / Registro de Títulos e Documentos e Civis das Pessoas Jurídicas,Ativo,PROVIDO,27/10/2021,PR,LAPA,registrolapa@gmail.com,2017-02-01,IWAYR MACHADO,LEILA DE FATIMA MAYER DE VARGAS
08.376-6,12/02/1938,1º Serviço de Registro de Imóveis,Privatizada,Registro de Imóveis,Ativo,PROVIDO,12/07/2021,PR,LONDRINA,atendimento@1rilondrina.com.br,2024-07-09,CAROLINE FELIZ SARRAF FERRI,ANDRé LUIS CAPALBO
08.383-2,14/11/1954,Serviço de Registro de Imóveis,Privatizada,Registro de Imóveis,Ativo,PROVIDO,10/04/2023,PR,MARIALVA,crimarialva@gmail.com,2023-02-07,ANDRé ZAMPIERI ALVES,-
08.388-1,09/04/1954,1º Serviço de Registro de Imóveis,Privatizada,Registro de Imóveis,Ativo,PROVIDO,27/10/2021,PR,MARINGA,recepcao@1rimaringa.com.br,2024-07-04,FERNANDO MATSUZAWA,MARIA ELIANA FERREIRA JACOVOS
08.391-5,02/03/1970,Serviço de Registro de Imóveis,Privatizada,Registro de Imóveis,Ativo,PROVIDO,06/04/2018,PR,MEDIANEIRA,atendimento@rimedianeira.com,2017-08-11,GERALDO AUGUSTO ARRUDA NETO,-
08.400-4,14/12/1953,Serviço de Registro de Imóveis,Privatizada,Registro de Imóveis,Ativo,PROVIDO,27/10/2021,PR,NOVA ESPERANCA,recepcao@rinovaesperanca.com.br,2024-07-09,DANUSA MARIA DE CAMARGO DIAS ARAUJO,ELIO DUARTE DIAS NETO
08.419-4,13/05/1978,Serviço de Registro de Imóveis,Privatizada,Registro de Imóveis,Ativo,PROVIDO,11/04/2023,PR,BARBOSA FERRAZ,contato@ribarbosaferraz.com,2024-07-04,FERNANDO MEDEIROS FERREIRA,MAYARA DE SÁ FERREIRA
08.422-8,07/03/1978,"Serviço de Registro de Imóveis, Serviço de Registro Civil das Pessoas Naturais e Serviço de Registro de Títulos e Documentos e Civil das Pessoas Jurídicas",Privatizada,Registro Civil das Pessoas Naturais e de Interdições e Tutelas / Registro de Imóveis / Registro de Títulos e Documentos e Civis das Pessoas Jurídicas,Ativo,PROVIDO,12/07/2010,PR,ALTO PIQUIRI,cripiquiri@hotmail.com,1985-01-30,ELMA SUELI BELGA LADEIA,CELIA ALCANTARA FERREIRA CAMPOS
08.423-6,12/12/1998,"Serviço de Registro de Imóveis, Serviço de Registro Civil das Pessoas Naturais e Serviço de Registro de Títulos e Documentos e Civil das Pessoas Jurídicas",Privatizada,Registro Civil das Pessoas Naturais e de Interdições e Tutelas / Registro de Imóveis / Registro de Títulos e Documentos e Civis das Pessoas Jurídicas,Ativo,PROVIDO,12/07/2010,PR,MATINHOS,imoveis@registromatinhos.com.br,2025-01-08,ALCESTE RIBAS DE MACEDO FILHO,-
08.424-4,23/11/1970,"Serviço de Registro de Imóveis, Serviço de Registro Civil das Pessoas Naturais e Serviço de Registro de Títulos e Documentos e Civil das Pessoas Jurídicas",Privatizada,Notas / Registro Civil das Pessoas Naturais e de Interdições e Tutelas / Registro de Imóveis / Registro de Títulos e Documentos e Civis das Pessoas Jurídicas,Ativo,PROVIDO,28/09/2023,PR,XAMBRE,crixambre@gmail.com,2023-02-01,TALLYS OLIVEIRA SILVA ARAUJO,KENNEDY SOUSA ARAUJO OLIVEIRA
08.425-1,29/06/1995,Serviço de Registro de Imóveis,Privatizada,Registro de Imóveis,Ativo,PROVIDO,12/07/2010,PR,CAMPINA GRANDE DO SUL,ricgsul@gmail.com,2024-07-12,ADRIANO RICHA,LUCIANA LEVANDOSKI RICHA
08.429-3,10/07/1998,Serviço de Registro de Imóveis,Privatizada,Registro de Imóveis,Ativo,PROVIDO,27/10/2021,PR,PINHAIS,atendimento@ripinhais.com.br,2024-07-12,JOSÉ EDUARDO DRESCH FOGLIATTO DE MORAES,FABIO PEREIRA DE RAMOS
08.436-8,06/07/1854,SERVIÇO DE REGISTRO DE IMÓVEIS,Privatizada,Registro de Imóveis,Ativo,PROVIDO,27/10/2021,PR,PARANAGUA,contato@riparanagua.com,2024-07-08,PATRICK ROBERTO GASPARETTO,-
08.446-7,30/12/1975,Serviço de Registro de Imóveis,Privatizada,Registro de Imóveis,Ativo,PROVIDO,17/04/2023,PR,PEROLA,riperola@riperola.com.br,2024-07-09,AGOSTINHO CARLOS THON,-
08.450-9,20/03/1886,1º Serviço de Registro de Imóveis,Privatizada,Registro de Imóveis,Ativo,PROVIDO,27/09/2023,PR,PONTA GROSSA,1sri@primeiroregistropg.com.br,2023-02-01,LEONARDO GOMES PEREIRA,MARIA LúCIA SILVéRIO
08.454-1,23/07/1966,Serviço de Registro de Imóveis,Privatizada,Registro de Imóveis,Ativo,PROVIDO,10/04/2023,PR,PRIMEIRO DE MAIO,cartorio@registrodeimoveis1m.com,2023-02-10,RODRIGO ICHIKAWA CLARO SILVA,ANA CAROLINA SQUIZATO RODRIGUES
08.457-4,18/06/1954,1º SERVIÇO DE REGISTRO DE IMÓVEIS,Privatizada,Registro de Imóveis,Ativo,PROVIDO,04/04/2019,PR,PATO BRANCO,1oficioderegistrodeimoveis@gmail.com,2017-02-01,RENATA DA COSTA LUZ PACHECO MOUTINHO,FERNANDO PEREIRA MOUTINHO
08.458-2,24/06/1921,1º Serviço de Registro de Imóveis,Privatizada,Registro de Imóveis,Ativo,PROVIDO,12/07/2010,PR,FOZ DO IGUACU,certidaocartorio@hotmail.com,2024-07-16,ATALIBA AYRES DE AGUIRRA,EDUARDO VIEIRA DE AGUIRRA
